Id;date;order_number;place;t_c;order_count;branch
1;1704758400000;79077;1;Boxberry;1;Купи Флакон
2;1704758400000;79095;1;Почта России;1;Купи Флакон
3;1704758400000;79086;1;Boxberry;1;Купи Флакон
4;1704758400000;79065;1;Boxberry;1;Купи Флакон
5;1704758400000;79087;1;Boxberry;1;Купи Флакон
6;1704758400000;0;1;Яндекс Маркет;1;Маркетплейс
7;1704758400000;0;13;Озон;13;Маркетплейс
8;1704758400000;79013;1;DPD;1;Купи Флакон
9;1704758400000;79068;1;Сдек;1;Купи Флакон
10;1704758400000;79090;1;Сдек;1;Купи Флакон
11;1704844800000;79104;1;Сдек;1;Купи Флакон
15;1704844800000;0;11;Озон;11;Маркетплейс
16;1704844800000;0;3;Яндекс Маркет;3;Маркетплейс
17;1704844800000;79046;1;Сдек;1;Купи Флакон
18;1704844800000;79122;15;Самовывоз;1;Купи Флакон
19;1704844800000;79101;12;ПЭК;1;Купи Флакон
20;1704844800000;79106;4;Деловые линии;1;Купи Флакон
21;1704844800000;79112;1;Boxberry;1;Купи Флакон
22;1704844800000;79137;1;Boxberry;1;Купи Флакон
23;1704844800000;79133;1;Сдек;1;Купи Флакон
24;1704844800000;79126;1;Сдек;1;Купи Флакон
25;1704844800000;79128;1;Сдек;1;Купи Флакон
26;1704931200000;79130;1;Сдек;1;Купи Флакон
27;1704931200000;79148;1;Сдек;1;Купи Флакон
28;1704931200000;79136;1;Boxberry;1;Купи Флакон
29;1704931200000;79140;1;Boxberry;1;Купи Флакон
30;1704931200000;79153;1;Boxberry;1;Купи Флакон
31;1704931200000;79047;1;Почта России;1;Купи Флакон
33;1704931200000;79147;1;Почта России;1;Купи Флакон
34;1704931200000;79162;14;Деловые линии;1;Купи Флакон
35;1704931200000;79062;9;DPD;1;Купи Флакон
36;1704931200000;79155;1;DPD;1;Купи Флакон
37;1704931200000;79139;2;ПЭК;1;Купи Флакон
38;1704931200000;79146;3;DPD;1;Купи Флакон
39;1704931200000;0;1;Озон;1;Маркетплейс
40;1704931200000;79142;1;Сдек;1;Купи Флакон
41;1704931200000;79152;1;Сдек;1;Купи Флакон
42;1705017600000;78917;6;DPD;1;Купи Флакон
43;1705017600000;79185;2;Деловые линии;1;Купи Флакон
44;1705017600000;79188;2;Самовывоз;1;Купи Флакон
45;1705017600000;79186;1;Самовывоз;1;Купи Флакон
46;1705017600000;79171;1;Самовывоз;1;Купи Флакон
47;1705017600000;79120;4;Самовывоз;1;Купи Флакон
48;1705017600000;78821;10;Самовывоз;1;Купи Флакон
49;1705017600000;79168;1;Сдек;1;Купи Флакон
50;1705017600000;79200;5;Самовывоз;1;Купи Флакон
51;1705017600000;79165;1;Сдек;1;Купи Флакон
52;1705017600000;79189;1;Сдек;1;Купи Флакон
55;1705017600000;79163;1;Сдек;1;Купи Флакон
56;1705017600000;79169;1;Сдек;1;Купи Флакон
57;1705017600000;79175;1;Сдек;1;Купи Флакон
58;1705017600000;79174;1;Сдек;1;Купи Флакон
59;1705017600000;79135;1;Сдек;1;Купи Флакон
60;1705017600000;79194;1;Boxberry;1;Купи Флакон
61;1705017600000;79205;1;Почта России;1;Купи Флакон
64;1705017600000;79014;14;DPD;1;Купи Флакон
66;1705276800000;0;2;Яндекс Маркет;2;Маркетплейс
67;1705276800000;79204;1;Самовывоз;1;Купи Флакон
68;1705276800000;79214;1;Самовывоз;1;Купи Флакон
69;1705276800000;79216;3;Самовывоз;1;Купи Флакон
70;1705276800000;79208;1;Boxberry;1;Купи Флакон
71;1705276800000;79202;4;Сдек;1;Купи Флакон
72;1705276800000;79211;2;DPD;1;Купи Флакон
73;1705276800000;79187;15;ПЭК;1;Купи Флакон
74;1705276800000;0;6;Озон;6;Маркетплейс
75;1705276800000;79190;8;DPD;1;Купи Флакон
76;1705363200000;79154;19;Самовывоз;1;Купи Флакон
77;1705363200000;79224;1;Самовывоз;1;Купи Флакон
78;1705363200000;79253;1;Boxberry;1;Купи Флакон
79;1705363200000;79260;1;Самовывоз;1;Купи Флакон
80;1705363200000;79234;1;Boxberry;1;Купи Флакон
81;1705363200000;79284;1;Boxberry;1;Купи Флакон
82;1705363200000;79243;1;Boxberry;1;Купи Флакон
83;1705363200000;79262;1;Самовывоз;1;Купи Флакон
84;1705363200000;79268;1;Самовывоз;1;Купи Флакон
85;1705363200000;79271;1;Самовывоз;1;Купи Флакон
86;1705363200000;79245;1;Самовывоз;1;Купи Флакон
87;1705363200000;79238;1;Самовывоз;1;Купи Флакон
88;1705363200000;79251;1;Самовывоз;1;Купи Флакон
89;1705363200000;79141;1;Почта России;1;Купи Флакон
90;1705363200000;79235;1;Сдек;1;Купи Флакон
91;1705363200000;79247;1;Сдек;1;Купи Флакон
92;1705363200000;79264;2;Сдек;1;Купи Флакон
93;1705363200000;79213;2;DPD;1;Купи Флакон
94;1705449600000;79320;1;Ярмарка мастеров;1;Маркетплейс
95;1705449600000;79301;1;Самовывоз;1;Купи Флакон
96;1705449600000;79325;1;Сдек;1;Купи Флакон
97;1705449600000;79323;1;Сдек;1;Купи Флакон
98;1705449600000;79230;1;Сдек;1;Купи Флакон
99;1705449600000;79219;3;Сдек;1;Купи Флакон
100;1705449600000;79195;3;Сдек;1;Купи Флакон
101;1705449600000;79258;5;Сдек;1;Купи Флакон
102;1705449600000;79339;1;Сдек;1;Купи Флакон
103;1705449600000;79297;1;Boxberry;1;Купи Флакон
104;1705449600000;79326;1;Boxberry;1;Купи Флакон
105;1705449600000;79283;1;Почта России;1;Купи Флакон
106;1705449600000;79225;1;Почта России;1;Купи Флакон
107;1705536000000;79199;4;DPD;1;Купи Флакон
108;1705536000000;79343;1;Самовывоз;1;Купи Флакон
109;1705536000000;79321;3;Самовывоз;1;Купи Флакон
110;1705536000000;79281;1;Самовывоз;1;Купи Флакон
111;1705536000000;79307;1;Самовывоз;1;Купи Флакон
112;1705536000000;79173;1;Самовывоз;1;Купи Флакон
113;1705536000000;79288;4;Самовывоз;1;Купи Флакон
114;1705536000000;79159;5;DPD;1;Купи Флакон
115;1705536000000;79107;1;DPD;1;Купи Флакон
116;1705536000000;79293;4;Самовывоз;1;Купи Флакон
117;1705536000000;79310;8;DPD;1;Купи Флакон
118;1705536000000;79322;1;Самовывоз;1;Купи Флакон
119;1705536000000;79302;3;DPD;1;Купи Флакон
120;1705536000000;79215;3;DPD;1;Купи Флакон
121;1705536000000;79337;7;Деловые линии;1;Купи Флакон
122;1705536000000;79038;35;DPD;1;Купи Флакон
123;1705622400000;79273;1;Boxberry;1;Купи Флакон
124;1705622400000;79294;3;Самовывоз;1;Купи Флакон
125;1705622400000;79348;1;Сдек;1;Купи Флакон
126;1705622400000;79372;1;Сдек;1;Купи Флакон
127;1705622400000;79373;1;Почта России;1;Купи Флакон
128;1705622400000;79392;1;Самовывоз;1;Купи Флакон
129;1705622400000;79364;3;DPD;1;Купи Флакон
130;1705622400000;79356;2;DPD;1;Купи Флакон
131;1705622400000;79425;1;Ярмарка мастеров;1;Маркетплейс
132;1705881600000;79328;1;Самовывоз;1;Купи Флакон
133;1705881600000;79332;1;Самовывоз;1;Купи Флакон
134;1705881600000;76345;7;Самовывоз;1;Купи Флакон
135;1705881600000;79180;2;DPD;1;Купи Флакон
136;1705881600000;79413;1;Самовывоз;1;Купи Флакон
137;1705881600000;79232;1;Сдек;1;Купи Флакон
138;1705881600000;79388;1;Boxberry;1;Купи Флакон
139;1705881600000;79259;12;ПЭК;1;Купи Флакон
140;1705881600000;79380;5;ПЭК;1;Купи Флакон
141;1705881600000;79386;4;DPD;1;Купи Флакон
142;1705881600000;79383;4;Деловые линии;1;Купи Флакон
143;1705881600000;79390;1;Почта России;1;Купи Флакон
144;1705881600000;79400;8;DPD;1;Купи Флакон
145;1705881600000;0;24;Wildberries;24;Маркетплейс
146;1705968000000;79464;1;Самовывоз;1;Купи Флакон
147;1705968000000;79257;20;DPD;1;Купи Флакон
148;1705968000000;79439;1;Самовывоз;1;Купи Флакон
149;1705968000000;79418;16;Самовывоз;1;Купи Флакон
150;1705968000000;79455;1;DPD;1;Купи Флакон
151;1705968000000;79466;4;DPD;1;Купи Флакон
152;1705968000000;79457;1;Boxberry;1;Купи Флакон
153;1705968000000;79431;1;Почта России;1;Купи Флакон
154;1705968000000;79433;6;DPD;1;Купи Флакон
155;1705968000000;79432;13;DPD;1;Купи Флакон
156;1705968000000;79341;2;Деловые линии;1;Купи Флакон
157;1706054400000;79009;9;ПЭК;1;Купи Флакон
158;1706054400000;79481;1;Boxberry;1;Купи Флакон
159;1706054400000;79485;1;Boxberry;1;Купи Флакон
160;1706054400000;79492;1;Boxberry;1;Купи Флакон
161;1706054400000;79505;1;Самовывоз;1;Купи Флакон
162;1706054400000;79490;5;Самовывоз;1;Купи Флакон
